Unnamed: 0.1,id,imdb_id,popularity,budget,revenue,original_title,cast,director,tagline,keywords,overview,runtime,genres,vote_count,Year of release,Movie Rating,Gross collection,Name of movie,Popularity
49,539.0,tt0054215,2.610362,806948.0,32000000.0,Psycho,Anthony Perkins|Vera Miles|John Gavin|Janet Leigh|Martin Balsam,Alfred Hitchcock,The master of suspense moves his cameras into the icy blackness of the unexplored!,hotel|clerk|arizona|shower|rain,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother. The place seems quirky, but fineâ€¦ until Marion decides to take a shower.",109.0,Drama|Horror|Thriller,1180.0,1960,8.5,$32.00M,,
50,629.0,tt0114814,3.440238,6000000.0,23341568.0,The Usual Suspects,Stephen Baldwin|Gabriel Byrne|Chazz Palminteri|Kevin Pollak|Pete Postlethwaite,Bryan Singer,Five Criminals. One Line Up. No Coincidence.,law|relatives|theft|criminal|criminal mastermind,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor â€“ leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",106.0,Drama|Crime|Thriller,1942.0,1995,8.5,$23.34M,,
51,,,4.237188379310346,44010464.62068965,282622788.5,Casablanca,0,0,0,0,0,140.8793103448276,0,2911.5,1942,8.5,$1.02M,,
52,73.0,tt0120586,1.333006,20000000.0,23875127.0,American History X,Edward Norton|Edward Furlong|Beverly D'Angelo|Avery Brooks|Jennifer Lien,Tony Kaye,Some Legacies Must End.,usa|neo-nazi|prison|skinhead|brother brother relationship,"Derek Vineyard is paroled after serving 3 years in prison for killing two thugs who tried to break into/steal his truck. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",119.0,Drama,1563.0,1998,8.5,$6.72M,,
53,,,4.237188379310346,44010464.62068965,282622788.5,The Intouchables,0,0,0,0,0,140.8793103448276,0,2911.5,2011,8.5,$13.18M,,
54,,,4.237188379310346,44010464.62068965,282622788.5,Once Upon a Time in the West,0,0,0,0,0,140.8793103448276,0,2911.5,1968,8.5,$5.32M,,
55,,,4.237188379310346,44010464.62068965,282622788.5,Grave of the Fireflies,0,0,0,0,0,140.8793103448276,0,2911.5,1988,8.5,#44,,
56,,,4.237188379310346,44010464.62068965,282622788.5,Cinema Paradiso,0,0,0,0,0,140.8793103448276,0,2911.5,1988,8.5,$11.99M,,
57,11603.0,tt0166322,0.18093,0.0,0.0,Rear Window,Christopher Reeve|Daryl Hannah|Robert Forster|Ruben Santiago-Hudson|Anne Twomey,Jeff Bleckner,Who's watching who?,architect|wheelchair|leave|murder|hitchcockian,Modern remake of Rear Window in which the lead character is paralyzed and lives in a high-tech home filled with assistive technology.,89.0,Drama|Thriller|TV Movie,10.0,1954,8.5,$36.76M,,
58,,,4.237188379310346,44010464.62068965,282622788.5,Modern Times,0,0,0,0,0,140.8793103448276,0,2911.5,1936,8.5,$0.16M,,
59,,,4.237188379310346,44010464.62068965,282622788.5,Kaithi,0,0,0,0,0,140.8793103448276,0,2911.5,2019,8.5,*****,,
60,,,4.237188379310346,44010464.62068965,282622788.5,City Lights,0,0,0,0,0,140.8793103448276,0,2911.5,1931,8.5,$0.02M,,
61,,,4.237188379310346,44010464.62068965,282622788.5,96,0,0,0,0,0,140.8793103448276,0,2911.5,II 2018,8.5,*****,,
62,,,4.237188379310346,44010464.62068965,282622788.5,Avengers: Endgame,0,0,0,0,0,140.8793103448276,0,2911.5,2019,8.4,$858.37M,,
63,,,4.237188379310346,44010464.62068965,282622788.5,Joker,0,0,0,0,0,140.8793103448276,0,2911.5,I 2019,8.4,$335.45M,,
64,,,4.237188379310346,44010464.62068965,282622788.5,Spider-Man: Into the Spider-Verse,0,0,0,0,0,140.8793103448276,0,2911.5,2018,8.4,$190.24M,,
65,85.0,tt0082971,4.5783,18000000.0,389925971.0,Raiders of the Lost Ark,Harrison Ford|Karen Allen|Paul Freeman|Ronald Lacey|John Rhys-Davies,Steven Spielberg,Indiana Jones - the new hero from the creators of JAWS and STAR WARS.,saving the world|riddle|nepal|himalaya|cairo,"When Dr. Indiana Jones â€“ the tweed-suited professor who just happens to be a celebrated archaeologist â€“ is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",115.0,Adventure|Action,2506.0,1981,8.4,$248.16M,,
66,,,4.237188379310346,44010464.62068965,282622788.5,Your Name.,0,0,0,0,0,140.8793103448276,0,2911.5,2016,8.4,$5.02M,,
67,679.0,tt0090605,2.485419,18500000.0,131060248.0,Aliens,Sigourney Weaver|Carrie Henn|Michael Biehn|Lance Henriksen|Paul Reiser,James Cameron,This Time It's War,android|extraterrestrial technology|space marine|spaceman|cryogenics,"When Ripley's lifepod is found by a salvage crew over 50 years later, she finds that terra-formers are on the very planet they found the alien species. When the company sends a family of colonists out to investigate her story, all contact is lost with the planet and colonists. They enlist Ripley and the colonial marines to return and search for answers.",137.0,Horror|Action|Thriller|Science Fiction,2027.0,1986,8.4,$85.16M,,
68,,,4.237188379310346,44010464.62068965,282622788.5,Avengers: Infinity War,0,0,0,0,0,140.8793103448276,0,2911.5,2018,8.4,$678.82M,,
69,68718.0,tt1853728,5.944518,100000000.0,425368238.0,Django Unchained,Jamie Foxx|Christoph Waltz|Leonardo DiCaprio|Kerry Washington|Samuel L. Jackson,Quentin Tarantino,"Life, liberty and the pursuit of vengeance.",bounty hunter|hero|plantation|society|friendship,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",165.0,Drama|Western,7375.0,2012,8.4,$162.81M,,
70,106035.0,tt0118460,0.427343,0.0,0.0,The Shining,Steven Weber|Rebecca De Mornay|Stephen King|Wil Horneff|Courtland Mead,Mick Garris,110 empty hotel rooms - filled with horror!,hotel|teacher|tv mini-series|cameo appearance|family violence,"John Torrance is a writer &amp; recovering alcoholic, who ends up taking a job as a winter caretaker for a remote Colorado hotel which he seeks as an opportunity to finish a piece of work. With his wife and son with him, the caretaker settles in, only to see visions of the hotel's long deceased employees and guests. With evil intentions, they manipulate him into his dark side which takes a toll on he and his family.",273.0,Drama|Horror|Thriller|TV Movie,37.0,1980,8.4,$44.02M,,
71,694.0,tt0081505,2.432001,19000000.0,44017374.0,The Shining,Jack Nicholson|Shelley Duvall|Danny Lloyd|Scatman Crothers|Barry Nelson,Stanley Kubrick,A masterpiece of modern horror.,hotel|isolation|hotelier|colorado|maze,"Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.",144.0,Horror|Thriller,1894.0,1980,8.4,$44.02M,,
72,87516.0,tt1321511,1.064357,30000000.0,4861022.0,Oldboy,Josh Brolin|Elizabeth Olsen|Samuel L. Jackson|Sharlto Copley|Lance Reddick,Spike Lee,Ask not why you were imprisoned. Ask why you were set free.,imprisonment|remake of korean film,An everyday man has only three and a half days and limited resources to discover why he was imprisoned in a nondescript room for 20 years without any explanation.,104.0,Drama|Thriller|Mystery|Action,403.0,2003,8.4,$0.71M,,
73,49026.0,tt1345836,6.591277,250000000.0,1081041287.0,The Dark Knight Rises,Christian Bale|Michael Caine|Gary Oldman|Anne Hathaway|Tom Hardy,Christopher Nolan,The Legend Ends,dc comics|crime fighter|terrorist|secret identity|burglar,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",165.0,Action|Crime|Drama|Thriller,6723.0,2012,8.4,$448.14M,,
74,77.0,tt0209144,3.095625,9000000.0,39723096.0,Memento,Guy Pearce|Carrie-Anne Moss|Joe Pantoliano|Mark Boone Junior|Russ Fega,Christopher Nolan,Some memories are best forgotten.,individual|insulin|tattoo|waitress|amnesia,"Suffering short-term memory loss after a head injury, Leonard Shelby embarks on a grim quest to find the lowlife who murdered his wife in this gritty, complex thriller that packs more knots than a hangman's noose. To carry out his plan, Shelby snaps Polaroids of people and places, jotting down contextual notes on the backs of photos to aid in his search and jog his memory. He even tattoos his own body in a desperate bid to remember.",113.0,Mystery|Thriller,2144.0,2000,8.4,$25.54M,,
75,,,4.237188379310346,44010464.62068965,282622788.5,Come and See,0,0,0,0,0,140.8793103448276,0,2911.5,1985,8.4,#92,,
76,197.0,tt0112573,2.533323,72000000.0,210000000.0,Braveheart,Mel Gibson|Catherine McCormack|Sophie Marceau|Patrick McGoohan|Angus Macfadyen,Mel Gibson,Every man dies.  Not every man truly lives.,individual|scotland|in love with enemy|legend|independence,"Enraged at the slaughter of Murron, his new bride and childhood love, legendary Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",177.0,Action|Drama|History|War,2205.0,1995,8.4,$75.60M,,
77,,,4.237188379310346,44010464.62068965,282622788.5,Das Boot,0,0,0,0,0,140.8793103448276,0,2911.5,1981,8.4,$11.49M,,
78,,,4.237188379310346,44010464.62068965,282622788.5,WALL·E,0,0,0,0,0,140.8793103448276,0,2911.5,2008,8.4,$223.81M,,
79,18955.0,tt1262877,0.141098,0.0,0.0,Coco,Gad Elmaleh|Pascale Arbillot|Manu Payet|Jean Benguigui|Ary Abittan,Gad Elmaleh,0,0,"Coco is a French comedy released in 2009 and produced by Gad Elmaleh. This is the first embodiment of the actor, adapted from a sketch in the show La Vie Normale. Coco talks about organizing a Bar Mitzvah.",95.0,Comedy,67.0,I 2017,8.4,$209.73M,,
80,279.0,tt0086879,1.682283,18000000.0,51973029.0,Amadeus,F. Murray Abraham|Tom Hulce|Elizabeth Berridge|Roy Dotrice|Simon Callow,MiloÅ¡ Forman,...Everything you've heard is true,italy|composer|opera|talent|musician,"The incredible story of genius musician Wolfgang Amadeus Mozart, told in flashback by his peer and secret rival Antonio Salieri â€“ now confined to an insane asylum.",160.0,Drama|History|Music,560.0,1984,8.4,$51.97M,,
81,,,4.237188379310346,44010464.62068965,282622788.5,The Lives of Others,0,0,0,0,0,140.8793103448276,0,2911.5,2006,8.4,$11.29M,,
82,,,4.237188379310346,44010464.62068965,282622788.5,Capernaum,0,0,0,0,0,140.8793103448276,0,2911.5,2018,8.4,$1.66M,,
83,935.0,tt0057012,2.210475,1800000.0,9440272.0,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Peter Sellers|George C. Scott|Sterling Hayden|Keenan Wynn|Slim Pickens,Stanley Kubrick,The hot-line suspense comedy,u.s. president|general|cold war|strategic air command|nuclear missile,An insane general starts a process to nuclear holocaust that a war room of politicians and generals frantically try to stop. A classic black and white war satire from director Stanley Kubrick starring Peter Sellers.,95.0,Drama|Comedy|War,804.0,1964,8.4,$0.28M,,
84,,,4.237188379310346,44010464.62068965,282622788.5,Sunset Blvd.,0,0,0,0,0,140.8793103448276,0,2911.5,1950,8.4,#59,,
85,20453.0,tt1187043,0.816681,9000000.0,70000000.0,3 Idiots,Aamir Khan|Kareena Kapoor|Madhavan|Sharman Joshi|Boman Irani,Rajkumar Hirani,Don't BE A STUPID BE AN I.D.I.O.T.,suicide|suicide attempt|college|friends|engineering,"In the tradition of â€œFerris Buellerâ€™s Day Offâ€ comes this refreshing comedy about a rebellious prankster with a crafty mind and a heart of gold. Rascal. Joker. Dreamer. Genius... You've never met a college student quite like ""Rancho."" From the moment he arrives at India's most prestigious university, Rancho's outlandish schemes turn the campus upside downâ€”along with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the schoolâ€™s uptight and heartless dean. But when Rancho catches the eye of the dean's sexy daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all.",170.0,Drama|Comedy|Romance,662.0,2009,8.4,$6.53M,,
86,,,4.237188379310346,44010464.62068965,282622788.5,Witness for the Prosecution,0,0,0,0,0,140.8793103448276,0,2911.5,1957,8.4,$8.18M,,
87,,,4.237188379310346,44010464.62068965,282622788.5,Paths of Glory,0,0,0,0,0,140.8793103448276,0,2911.5,1957,8.4,#60,,
88,,,4.237188379310346,44010464.62068965,282622788.5,The Great Dictator,0,0,0,0,0,140.8793103448276,0,2911.5,1940,8.4,$0.29M,,
89,,,4.237188379310346,44010464.62068965,282622788.5,High and Low,0,0,0,0,0,140.8793103448276,0,2911.5,1963,8.4,#86,,
90,,,4.237188379310346,44010464.62068965,282622788.5,Sardar Udham,0,0,0,0,0,140.8793103448276,0,2911.5,2021,8.4,*****,,
91,,,4.237188379310346,44010464.62068965,282622788.5,Asuran,0,0,0,0,0,140.8793103448276,0,2911.5,2019,8.4,*****,,
92,,,4.237188379310346,44010464.62068965,282622788.5,Drishyam 2,0,0,0,0,0,140.8793103448276,0,2911.5,2021,8.4,*****,,
93,,,4.237188379310346,44010464.62068965,282622788.5,Top Gun: Maverick,0,0,0,0,0,140.8793103448276,0,2911.5,2022,8.3,$718.73M,,
94,489.0,tt0119217,2.202087,10000000.0,225933435.0,Good Will Hunting,Robin Williams|Matt Damon|Ben Affleck|Stellan SkarsgÃ¥rd|Minnie Driver,Gus Van Sant,"Some people can never believe in themselves, until someone believes in them.",sex|baseball|boston|professor|m.i.t.,"Will Hunting, a janitor at MIT, has a gift for mathematics but needs help from a psychologist to find direction in his life.",126.0,Drama,1592.0,1997,8.3,$138.43M,,
95,16869.0,tt0361748,6.098027,70000000.0,319131050.0,Inglourious Basterds,Brad Pitt|MÃ©lanie Laurent|Christoph Waltz|Eli Roth|Michael Fassbender,Quentin Tarantino,Once upon a time in Nazi occupied France...,paris|guerilla|cinema|self sacrifice|dynamite,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",153.0,Drama|Action|Thriller|War,3969.0,2009,8.3,$120.54M,,
96,641.0,tt0180093,1.050687,4500000.0,7390108.0,Requiem for a Dream,Ellen Burstyn|Jared Leto|Jennifer Connelly|Marlon Wayans|Christopher McDonald,Darren Aronofsky,0,drug addiction|junkie|heroin|speed|diet,The hopes and dreams of four ambitious people are shattered when their drug addictions begin spiraling out of control. A look into addiction and how it overcomes the mind and body.,102.0,Drama,1316.0,2000,8.3,$3.64M,,
97,949.0,tt0113277,1.847583,60000000.0,187436818.0,Heat,Al Pacino|Robert De Niro|Val Kilmer|Jon Voight|Tom Sizemore,Michael Mann,A Los Angeles crime saga,gambling|suicide attempt|burglar|booties|detective inspector,"Obsessive master thief, Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",171.0,Action|Crime|Drama|Thriller,1104.0,1995,8.3,$67.44M,,
98,111.0,tt0086250,3.178818,25000000.0,65884703.0,Scarface,Al Pacino|Steven Bauer|Michelle Pfeiffer|Mary Elizabeth Mastrantonio|Robert Loggia,Brian De Palma,The world is yours...,miami|corruption|capitalism|cuba|prohibition,"After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.",170.0,Action|Crime|Drama|Thriller,1741.0,1983,8.3,$45.60M,,
99,,,4.237188379310346,44010464.62068965,282622788.5,Star Wars: Episode VI - Return of the Jedi,0,0,0,0,0,140.8793103448276,0,2911.5,1983,8.3,$309.13M,,
100,14.0,tt0169547,3.55572,15000000.0,356296601.0,American Beauty,Kevin Spacey|Annette Bening|Thora Birch|Wes Bentley|Mena Suvari,Sam Mendes,Look closer.,adultery|coming out|loss of father|first time|camcorder,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",122.0,Drama,1756.0,1999,8.3,$130.10M,,
101,185.0,tt0066921,3.072555,2200000.0,26589000.0,A Clockwork Orange,Malcolm McDowell|Patrick Magee|Adrienne Corri|Michael Bates|Warren Clarke,Stanley Kubrick,"Being the adventures of a young man whose principal interests are rape, ultra-violence and Beethoven.",prison|street gang|rape|adolescence|sexuality,"The head of a gang of toughs, in an insensitive futuristic society, is conditioned to become physically ill at sex and violence during a prison sentence. When he is released, he's brutally beaten by all of his old adversaries.",136.0,Science Fiction|Drama,1786.0,1971,8.3,$6.21M,,
102,600.0,tt0093058,2.0267,17000000.0,46357676.0,Full Metal Jacket,Matthew Modine|Adam Baldwin|Vincent D'Onofrio|R. Lee Ermey|Dorian Harewood,Stanley Kubrick,"Vietnam can kill me, but it canâ€™t make me care.",suicide|prostitute|helicopter|based on novel|journalism,A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,116.0,Drama|War,1311.0,1987,8.3,$46.36M,,
0,,,4.237188379310346,44010464.62068965,282622788.5,0,0,0,0,0,0,140.8793103448276,0,2911.5,2022,7.7,Unknown,Avatar: The Way of Water,2653.101
1,,,4.237188379310346,44010464.62068965,282622788.5,0,0,0,0,0,0,140.8793103448276,0,2911.5,2022,8.3,Unknown,Puss in Boots: The Last Wish,1011.998
2,,,4.237188379310346,44010464.62068965,282622788.5,0,0,0,0,0,0,140.8793103448276,0,2911.5,2022,5.9,Unknown,Adrenaline,978.055
3,,,4.237188379310346,44010464.62068965,282622788.5,0,0,0,0,0,0,140.8793103448276,0,2911.5,2022,6.5,Unknown,Pirates Down the Street II: The Ninjas from Across,871.288
4,,,4.237188379310346,44010464.62068965,282622788.5,0,0,0,0,0,0,140.8793103448276,0,2911.5,2022,6.0,Unknown,Attack on Titan,705.932
5,,,4.237188379310346,44010464.62068965,282622788.5,0,0,0,0,0,0,140.8793103448276,0,2911.5,2023,6.1,Unknown,The Communion Girl,655.27
6,,,4.237188379310346,44010464.62068965,282622788.5,0,0,0,0,0,0,140.8793103448276,0,2911.5,2022,7.3,Unknown,Black Panther: Wakanda Forever,630.084
7,,,4.237188379310346,44010464.62068965,282622788.5,0,0,0,0,0,0,140.8793103448276,0,2911.5,2023,5.8,Unknown,The Elderly,606.454
8,,,4.237188379310346,44010464.62068965,282622788.5,0,0,0,0,0,0,140.8793103448276,0,2911.5,2023,6.3,Unknown,Supercell,593.014
9,,,4.237188379310346,44010464.62068965,282622788.5,0,0,0,0,0,0,140.8793103448276,0,2911.5,2023,7.1,Unknown,Sisu,559.959
10,,,4.237188379310346,44010464.62068965,282622788.5,0,0,0,0,0,0,140.8793103448276,0,2911.5,2022,7.1,Unknown,Black Adam,528.922
11,,,4.237188379310346,44010464.62068965,282622788.5,0,0,0,0,0,0,140.8793103448276,0,2911.5,2022,7.6,Unknown,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,486.628
12,,,4.237188379310346,44010464.62068965,282622788.5,0,0,0,0,0,0,140.8793103448276,0,2911.5,2023,6.3,Unknown,The Devil Conspiracy,452.57
13,,,4.237188379310346,44010464.62068965,282622788.5,0,0,0,0,0,0,140.8793103448276,0,2911.5,2022,7.4,Unknown,M3GAN,445.351
14,,,4.237188379310346,44010464.62068965,282622788.5,0,0,0,0,0,0,140.8793103448276,0,2911.5,2022,7.8,Unknown,Marcel the Shell with Shoes On,442.464
15,,,4.237188379310346,44010464.62068965,282622788.5,0,0,0,0,0,0,140.8793103448276,0,2911.5,2022,6.2,Unknown,Prizefighter: The Life of Jem Belcher,412.998
16,,,4.237188379310346,44010464.62068965,282622788.5,0,0,0,0,0,0,140.8793103448276,0,2911.5,2022,6.3,Unknown,Shotgun Wedding,361.028
17,,,4.237188379310346,44010464.62068965,282622788.5,0,0,0,0,0,0,140.8793103448276,0,2911.5,2022,5.8,Unknown,The Exorcist,357.499
18,,,4.237188379310346,44010464.62068965,282622788.5,0,0,0,0,0,0,140.8793103448276,0,2911.5,2022,7.0,Unknown,The Amazing Maurice,353.378
19,,,4.237188379310346,44010464.62068965,282622788.5,0,0,0,0,0,0,140.8793103448276,0,2911.5,2022,8.5,Unknown,The Quintessential Quintuplets Movie,348.572
20,,,4.237188379310346,44010464.62068965,282622788.5,0,0,0,0,0,0,140.8793103448276,0,2911.5,2022,7.3,Unknown,Fall,325.233
21,,,4.237188379310346,44010464.62068965,282622788.5,0,0,0,0,0,0,140.8793103448276,0,2911.5,2023,6.0,Unknown,Cazadora,315.153
22,,,4.237188379310346,44010464.62068965,282622788.5,0,0,0,0,0,0,140.8793103448276,0,2911.5,2022,5.3,Unknown,Shark Side of the Moon,314.586
23,,,4.237188379310346,44010464.62068965,282622788.5,0,0,0,0,0,0,140.8793103448276,0,2911.5,2009,6.1,Unknown,The Forbidden Legend: Sex & Chopsticks 2,297.037
24,,,4.237188379310346,44010464.62068965,282622788.5,0,0,0,0,0,0,140.8793103448276,0,2911.5,2022,7.5,Unknown,Sniper: The White Raven,290.476
25,,,4.237188379310346,44010464.62068965,282622788.5,0,0,0,0,0,0,140.8793103448276,0,2911.5,2022,5.9,Unknown,"To Me, the One Who Loved You",282.439
26,,,4.237188379310346,44010464.62068965,282622788.5,0,0,0,0,0,0,140.8793103448276,0,2911.5,2022,6.3,Unknown,To Every You I've Loved Before,277.88
27,,,4.237188379310346,44010464.62068965,282622788.5,0,0,0,0,0,0,140.8793103448276,0,2911.5,2022,6.6,Unknown,Thor: Love and Thunder,275.292
28,,,4.237188379310346,44010464.62068965,282622788.5,0,0,0,0,0,0,140.8793103448276,0,2911.5,2023,4.8,Unknown,Ip Man: The Awakening,269.679
29,,,4.237188379310346,44010464.62068965,282622788.5,0,0,0,0,0,0,140.8793103448276,0,2911.5,2022,8.3,Unknown,Top Gun: Maverick,268.515
30,,,4.237188379310346,44010464.62068965,282622788.5,0,0,0,0,0,0,140.8793103448276,0,2911.5,2021,8.0,Unknown,Spider-Man: No Way Home,268.21
31,,,4.237188379310346,44010464.62068965,282622788.5,0,0,0,0,0,0,140.8793103448276,0,2911.5,2017,7.6,Unknown,Guardians of the Galaxy Vol. 2,267.644
32,,,4.237188379310346,44010464.62068965,282622788.5,0,0,0,0,0,0,140.8793103448276,0,2911.5,2022,6.6,Unknown,Gold Run,265.826
33,,,4.237188379310346,44010464.62068965,282622788.5,0,0,0,0,0,0,140.8793103448276,0,2911.5,2022,6.7,Unknown,Troll,244.927
